稳定app晴天TV tg：https://t.me/qingtiantv


🔆ipv6,#genre#
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225501/2/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225500/2/index.m3u8
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225634/2/index.m3u8
CCTV4,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225621/2/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225633/2/index.m3u8
CCTV5+,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225649/2/index.m3u8
CCTV6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225632/2/index.m3u8
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225499/2/index.m3u8
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225631/2/index.m3u8
CCTV9,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225626/2/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225496/2/index.m3u8
CCTV11,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225628/2/index.m3u8
CCTV12,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225495/2/index.m3u8
CCTV13,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225638/2/index.m3u8
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225494/2/index.m3u8
CCTV15,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225641/2/index.m3u8
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb18]/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8

香港,#genre#
無線新聞台1080P,http://kkwk1122.top/tvvb.php?id=0&hq
無線新聞台720P,http://kkwk1122.top/tvvb.php?id=0
無線新聞台360P,http://kkwk1122.top/tvvb.php?id=1
無線財經,http://kkwk1122.top/tvvb.php?id=2&hq
無線財經a,http://kkwk1122.top/tvvb.php?id=2
事件1直播頻道,http://kkwk1122.top/tvvb.php?id=5
高清翡翠,http://r.jdshipin.com/62WM7
高清翡翠,http://r.jdshipin.com/qClQf
高清翡翠,http://r.jdshipin.com/n90gt
高清翡翠,http://r.jdshipin.com/qrfbg
高清翡翠,http://113.117.74.20:8081/hls/25/index.m3u8
翡翠台,http://nas.jdshipin.com:8801/gudoufc.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1350_4500
明珠台,http://nas.jdshipin.com:8801/gudoufc.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1351_4500
凤凰中文,http://nas.jdshipin.com:8801/gudoufc.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=fhzw_1500
星空卫视,http://nas.jdshipin.com:8801/gudoufc.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=xingkong_1500
澳亚卫视,http://nas.jdshipin.com:8801/gudoufc.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=aoya_1500
TVBS星河,http://r.jdshipin.com/sXuuD
翡翠台,http://r.jdshipin.com/n90gt
有线,http://185.243.7.13/play/live.php?mac=00:1A:79:45:5E:9A&stream=153396&extension=ts&play_token=ICdnbP1fWe
有线新,http://61.10.2.140/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
香港32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
凤凰资讯台,http://kkwk1122.top/fh.php?id=fhzx
凤凰中文台,http://kkwk1122.top/fh.php?id=fhzw
凤凰香港台,http://kkwk1122.top/fh.php?id=fhhk
翡翠台,http://r.jdshipin.com/qClQf
明珠台,http://r.jdshipin.com/ZQ4kN
澳門蓮花,https://p.ggiptv.com/v/macaulotustv.php
澳門蓮花,http://anren.live/HK/BiIOU11uLA.m3u8
澳門蓮花,http://nettvpro.live/hls/lotustv.php?zgangd
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
無線新聞台1080P,http://kkwk1122.top/tvvb.php?id=0&hq
無線新聞台720P,http://kkwk1122.top/tvvb.php?id=0
無線新聞台360P,http://kkwk1122.top/tvvb.php?id=1
無線財經,http://kkwk1122.top/tvvb.php?id=2&hq
無線財經a,http://kkwk1122.top/tvvb.php?id=2
事件直播頻道,http://kkwk1122.top/tvb.php?id=5

百视频道,#genre#
我们的歌,http://kkwk1122.top/bestv.php?id=41
谜案大世界,http://kkwk1122.top/bestv.php?id=84
完美的夏天,http://kkwk1122.top/bestv.php?id=59
极限挑战,http://kkwk1122.top/bestv.php?id=27
汤妈妈,http://kkwk1122.top/bestv.php?id=213
完美的夏天2,http://kkwk1122.top/bestv.php?id=222
王牌对王牌,http://kkwk1122.top/bestv.php?id=193
东方风云榜,http://kkwk1122.top/bestv.php?id=146
美好生活家,http://kkwk1122.top/bestv.php?id=228
人气美食,http://kkwk1122.top/bestv.php?id=144
漫游记,http://kkwk1122.top/bestv.php?id=218
两个人的世界,http://kkwk1122.top/bestv.php?id=124
高能脱口秀,http://kkwk1122.top/bestv.php?id=76
奔跑吧兄弟,http://kkwk1122.top/bestv.php?id=201
童年国漫,http://kkwk1122.top/bestv.php?id=37
城市真英雄,http://kkwk1122.top/bestv.php?id=119
荒野求生,http://kkwk1122.top/bestv.php?id=226
整容级妆教,http://kkwk1122.top/bestv.php?id=216
天籁之战,http://kkwk1122.top/bestv.php?id=156
宅家瘦全身,http://kkwk1122.top/bestv.php?id=40
居家云打卡,http://kkwk1122.top/bestv.php?id=120
海派滑稽戏,http://kkwk1122.top/bestv.php?id=38
领航,http://kkwk1122.top/bestv.php?id=134
带娃小妙招,http://kkwk1122.top/bestv.php?id=52
东方卫视,http://kkwk1122.top/bestv.php?id=22
新闻综合,http://kkwk1122.top/bestv.php?id=20
外语频道,http://kkwk1122.top/bestv.php?id=17
都市频道,http://kkwk1122.top/bestv.php?id=18
哈哈炫动,http://kkwk1122.top/bestv.php?id=19
纪实人文,http://kkwk1122.top/bestv.php?id=28
第一财经,http://kkwk1122.top/bestv.php?id=21
东方财经,http://kkwk1122.top/bestv.php?id=26

韩国频道,#genre#
9,http://kkwk1122.top/kbs.php?id=9
8,http://kkwk1122.top/kbs.php?id=8
7,http://kkwk1122.top/kbs.php?id=7
6,http://kkwk1122.top/kbs.php?id=6
5,http://kkwk1122.top/kbs.php?id=5
4,http://kkwk1122.top/kbs.php?id=4
3,http://kkwk1122.top/kbs.php?id=3
2,http://kkwk1122.top/kbs.php?id=2
1,http://kkwk1122.top/kbs.php?id=1


卫视频道,#genre#
浙江卫视,http://125.210.152.19:9120/live/hzgq-zjwsgq-h264.m3u8
湖南卫视,http://125.210.152.19:9120/live/hzgq-hnwsgq-h264.m3u8
江苏卫视,http://125.210.152.19:9120/live/hzgq-jswsgq-h264.m3u8
北京卫视,http://125.210.152.19:9120/live/hzgq-bjgqws-h264.m3u8
东方卫视,http://125.210.152.19:9120/live/hzgq-dftvgq-h264.m3u8
广东卫视,http://125.210.152.19:9120/live/hzgq-gdwsgq-h264.m3u8
河南卫视,http://125.210.152.19:9120/live/hzgq-henanwsgq-h264.m3u8
河北卫视,http://125.210.152.19:9120/live/hzgq-hbwsgq1-h264.m3u8
安徽卫视,http://125.210.152.19:9120/live/hzgq-ahwsgq-h264.m3u8
湖北卫视,http://125.210.152.19:9120/live/hzgq-hbwsgq-h264.m3u8
江西卫视,http://125.210.152.19:9120/live/hzgq-jxwsgq-h264.m3u8
山东卫视,http://125.210.152.19:9120/live/hzgq-sdwsgq-h264.m3u8
深圳卫视,http://125.210.152.19:9120/live/hzgq-szwsgq-h264.m3u8
天津卫视,http://125.210.152.19:9120/live/hzgq-tjwsgq-h264.m3u8
云南卫视,http://125.210.152.19:9120/live/hzgq-ynwsgq-h264.m3u8
重庆卫视,http://125.210.152.19:9120/live/hzgq-cqwsgq-h264.m3u8
吉林卫视,http://125.210.152.19:9120/live/hzgq-jlwsgq-h264.m3u8
黑龙江卫视,http://125.210.152.19:9120/live/hzgq-hljwsgq-h264.m3u8
辽宁卫视,http://125.210.152.19:9120/live/hzgq-lnwsgq-h264.m3u8
北京卫视,http://222.71.90.218:8888/newlive/live/hls/18/live.m3u8
东方卫视,http://222.71.90.218:8888/newlive/live/hls/19/live.m3u8
浙江卫视,http://222.71.90.218:8888/newlive/live/hls/20/live.m3u8
江苏卫视,http://222.71.90.218:8888/newlive/live/hls/21/live.m3u8
湖南卫视,http://222.71.90.218:8888/newlive/live/hls/22/live.m3u8
广东卫视,http://222.71.90.218:8888/newlive/live/hls/23/live.m3u8
深圳卫视,http://222.71.90.218:8888/newlive/live/hls/24/live.m3u8
黑龙江卫视,http://222.71.90.218:8888/newlive/live/hls/25/live.m3u8
山东卫视,http://222.71.90.218:8888/newlive/live/hls/26/live.m3u8
湖北卫视,http://222.71.90.218:8888/newlive/live/hls/27/live.m3u8
安徽卫视,http://222.71.90.218:8888/newlive/live/hls/28/live.m3u8
东南卫视,http://222.71.90.218:8888/newlive/live/hls/29/live.m3u8
江西卫视,http://222.71.90.218:8888/newlive/live/hls/30/live.m3u8
辽宁卫视,http://222.71.90.218:8888/newlive/live/hls/31/live.m3u8
天津卫视,http://222.71.90.218:8888/newlive/live/hls/32/live.m3u8
云南卫视,http://222.71.90.218:8888/newlive/live/hls/39/live.m3u8
广西卫视,http://222.71.90.218:8888/newlive/live/hls/40/live.m3u8
吉林卫视,http://222.71.90.218:8888/newlive/live/hls/41/live.m3u8
宁夏卫视,http://222.71.90.218:8888/newlive/live/hls/42/live.m3u8
青海卫视,http://222.71.90.218:8888/newlive/live/hls/43/live.m3u8
西藏卫视,http://222.71.90.218:8888/newlive/live/hls/44/live.m3u8
陕西卫视,http://222.71.90.218:8888/newlive/live/hls/45/live.m3u8
内蒙古卫视,http://222.71.90.218:8888/newlive/live/hls/46/live.m3u8
新疆卫视,http://222.71.90.218:8888/newlive/live/hls/47/live.m3u8
北京卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8?
河北卫视,http://event.pull.hebtv.com/jishi/weishipindao.m3u8
河南卫视,http://media.hndyjyfw.gov.cn/live/jz-hnweishi/live.m3u8
海南卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8?
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
